=== N-HEDRON SWEEP: Lambda vs Prime Indicator ===
Sweeping q = 3 to 200, N = 3000

--- STRIKE 1: Full sweep ---
   q    mu   phi    I_prime   I_Lambda  Ramanujan  Lam/Pri
-----------------------------------------------------------------
   2    -1     1   0.990719   0.006890   1.000000    0.007 BRIGHT
   3    -1     2   0.247436   0.004637   0.250000    0.019 BRIGHT
   4     0     2   0.000270   0.002377   0.000000    8.791 dark
   5    -1     4   0.071072   0.002557   0.062500    0.036 BRIGHT
   6     1     2   0.244905   0.000130   0.250000    0.001 BRIGHT
   7    -1     6   0.028325   0.001738   0.027778    0.061 BRIGHT
   8     0     4   0.000375   0.000788   0.000000    2.103 dark
   9     0     6   0.000500   0.000797   0.000000    1.596 dark
  10     1     4   0.052456   0.000059   0.062500    0.001 BRIGHT
  11    -1    10   0.009396   0.000932   0.010000    0.099
  12     0     4   0.000536   0.000044   0.000000    0.082 dark
  13    -1    12   0.007635   0.000771   0.006944    0.101
  14     1     6   0.024123   0.000015   0.027778    0.001 BRIGHT
  15     1     8   0.015119   0.000052   0.015625    0.003 BRIGHT
  16     0     8   0.000053   0.000257   0.000000    4.879 dark
  17    -1    16   0.003566   0.000415   0.003906    0.116
  18     0     6   0.000025   0.000024   0.000000    0.979 dark
  19    -1    18   0.003348   0.000374   0.003086    0.112
  20     0     8   0.000135   0.000019   0.000000    0.140 dark
  21     1    12   0.007135   0.000021   0.006944    0.003
  22     1    10   0.010804   0.000005   0.010000    0.000 BRIGHT
  23    -1    22   0.001630   0.000206   0.002066    0.126
  24     0     8   0.000080   0.000041   0.000000    0.508 dark
  25     0    20   0.000703   0.000175   0.000000    0.249 dark
  26     1    12   0.005765   0.000008   0.006944    0.001
  27     0    18   0.000243   0.000097   0.000000    0.399 dark
  28     0    12   0.000281   0.000013   0.000000    0.047 dark
  29    -1    28   0.002534   0.000110   0.001276    0.044
  30    -1     8   0.013951   0.000006   0.015625    0.000 BRIGHT
  31    -1    30   0.001370   0.000124   0.001111    0.090
  33     1    20   0.002375   0.000016   0.002500    0.007
  34     1    16   0.006531   0.000010   0.003906    0.002
